                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.45074,                 0.3545,                0.80959,                 0.8288,                0.63344,                 0.7149,                0.60092,                0.78981,                 1.1997,                0.90915,             0.00030206,             0.00030206,             0.00030206
                     95,                0.48413,                0.35406,                0.81834,                0.83097,                0.63341,                0.71679,                0.59945,                0.79316,                 1.1902,                0.91039,             0.00029699,             0.00029699,             0.00029699
                     96,                0.44323,                 0.3418,                 0.8161,                0.85111,                0.63338,                 0.7175,                0.59618,                0.79779,                 1.1822,                0.91123,             0.00029191,             0.00029191,             0.00029191
                     97,                0.45058,                0.34586,                0.81994,                0.84769,                0.63664,                0.71617,                0.59469,                 0.7991,                  1.183,                0.91473,             0.00028684,             0.00028684,             0.00028684
                     98,                0.43942,                0.32829,                0.81988,                0.88073,                0.62103,                0.71638,                0.60619,                0.78833,                 1.1413,                0.91326,             0.00028176,             0.00028176,             0.00028176
                     99,                0.44474,                 0.3363,                0.81352,                0.88585,                0.61779,                0.71755,                0.60437,                  0.797,                 1.1639,                0.91653,             0.00027669,             0.00027669,             0.00027669
                    100,                0.45056,                0.35491,                0.82351,                0.87874,                0.61001,                0.72025,                0.60185,                 0.8133,                 1.1676,                0.93007,             0.00027161,             0.00027161,             0.00027161
                    101,                0.43002,                0.33068,                0.81875,                0.85888,                0.61955,                0.71268,                0.59431,                0.80476,                 1.1508,                0.93195,             0.00026654,             0.00026654,             0.00026654
                    102,                0.43375,                0.33312,                 0.8241,                0.87329,                0.61609,                0.70356,                0.58834,                0.79807,                  1.158,                0.92183,             0.00026146,             0.00026146,             0.00026146
                    103,                0.45393,                 0.3452,                0.81263,                0.87045,                0.60305,                0.70291,                0.58667,                 0.7998,                 1.1859,                0.92221,             0.00025638,             0.00025638,             0.00025638
                    104,                 0.4319,                 0.3382,                0.82144,                0.78612,                0.65091,                0.71405,                0.59539,                0.79032,                 1.1918,                 0.9173,             0.00025131,             0.00025131,             0.00025131
                    105,                0.44844,                0.33838,                0.81875,                0.81858,                 0.6649,                 0.7294,                0.60736,                0.78458,                 1.1607,                0.91163,             0.00024623,             0.00024623,             0.00024623
                    106,                 0.4242,                0.32626,                0.82014,                0.86523,                0.66803,                0.73188,                0.61519,                0.78115,                 1.1187,                0.89842,             0.00024116,             0.00024116,             0.00024116
                    107,                0.43447,                0.32001,                0.81954,                0.87238,                0.67017,                0.73148,                0.61119,                0.77881,                  1.116,                0.89957,             0.00023608,             0.00023608,             0.00023608
                    108,                0.41968,                0.31668,                0.80708,                0.84478,                0.65922,                0.72655,                0.61702,                0.77783,                 1.1508,                0.90978,             0.00023101,             0.00023101,             0.00023101
                    109,                0.43296,                0.32854,                0.82002,                 0.8156,                0.67407,                0.72452,                0.60964,                0.77415,                 1.1586,                0.90768,             0.00022593,             0.00022593,             0.00022593
                    110,                0.42773,                0.32491,                0.81507,                0.88478,                0.64093,                0.73289,                0.62031,                0.77386,                 1.1662,                0.90228,             0.00022086,             0.00022086,             0.00022086
                    111,                 0.4303,                  0.322,                0.82137,                0.86914,                0.64756,                0.73155,                0.61093,                0.79145,                  1.177,                0.90489,             0.00021578,             0.00021578,             0.00021578
                    112,                 0.4217,                0.31908,                0.81498,                0.81923,                0.66156,                0.72339,                0.60437,                0.79891,                 1.1879,                0.90644,             0.00021071,             0.00021071,             0.00021071
                    113,                0.41568,                0.32645,                0.81888,                0.82946,                0.64691,                0.72099,                0.60309,                 0.8099,                 1.2059,                0.91216,             0.00020563,             0.00020563,             0.00020563
                    114,                0.41852,                0.31013,                0.80733,                0.86578,                0.62257,                0.71464,                0.60056,                0.80745,                 1.1991,                0.91876,             0.00020056,             0.00020056,             0.00020056
                    115,                 0.3906,                0.29849,                0.80833,                0.83237,                0.64121,                0.71495,                0.60756,                0.80486,                 1.1928,                0.91758,             0.00019548,             0.00019548,             0.00019548
                    116,                0.41667,                0.31172,                0.80825,                0.85505,                0.62686,                0.71312,                0.60663,                0.79712,                 1.1899,                0.91656,              0.0001904,              0.0001904,              0.0001904
                    117,                0.40322,                0.31362,                0.81316,                0.85389,                 0.6271,                 0.7118,                0.60359,                0.79456,                 1.1992,                0.91835,             0.00018533,             0.00018533,             0.00018533
                    118,                0.38677,                0.29462,                0.81181,                0.85922,                0.63569,                0.71728,                0.59767,                0.81277,                 1.1983,                0.92241,             0.00018025,             0.00018025,             0.00018025
                    119,                0.40687,                0.31286,                0.80619,                0.86696,                0.63142,                0.71902,                0.59952,                0.81302,                 1.1993,                0.92014,             0.00017518,             0.00017518,             0.00017518
                    120,                0.39626,                0.32455,                0.81639,                0.89518,                0.62009,                0.72506,                0.61357,                 0.7895,                 1.1748,                0.91137,              0.0001701,              0.0001701,              0.0001701
                    121,                0.38478,                0.28676,                0.81325,                0.90007,                 0.6211,                0.72724,                0.61391,                0.78187,                 1.1573,                0.90895,             0.00016503,             0.00016503,             0.00016503
                    122,                0.38091,                0.28264,                0.80882,                 0.8923,                0.62558,                0.72613,                 0.6011,                0.79401,                 1.1509,                0.91017,             0.00015995,             0.00015995,             0.00015995
                    123,                0.38952,                0.29525,                0.80812,                0.89625,                0.63104,                 0.7259,                0.59852,                0.79939,                   1.16,                0.91128,             0.00015488,             0.00015488,             0.00015488
                    124,                0.40587,                0.31203,                0.80626,                 0.8796,                0.64889,                0.72614,                 0.6065,                0.78305,                 1.1478,                 0.9123,              0.0001498,              0.0001498,              0.0001498
                    125,                0.38402,                0.28972,                0.80658,                0.87653,                0.65223,                0.72636,                0.61263,                0.78938,                 1.1571,                0.91342,             0.00014473,             0.00014473,             0.00014473
                    126,                0.36636,                0.28168,                 0.7981,                0.87432,                0.65278,                0.72751,                0.60968,                 0.7944,                 1.1541,                 0.9161,             0.00013965,             0.00013965,             0.00013965
                    127,                0.36984,                0.28363,                0.81456,                 0.8742,                0.64454,                0.73056,                0.61394,                0.79977,                 1.1466,                 0.9196,             0.00013457,             0.00013457,             0.00013457
                    128,                0.37906,                0.27743,                0.80871,                0.86582,                0.65317,                 0.7344,                0.62158,                0.80539,                 1.1265,                0.92065,              0.0001295,              0.0001295,              0.0001295
                    129,                0.40187,                 0.2995,                0.80594,                0.86691,                0.65519,                 0.7342,                0.61544,                0.80517,                 1.1118,                0.92147,             0.00012442,             0.00012442,             0.00012442
                    130,                 0.3859,                0.28971,                0.80933,                0.84569,                0.65792,                 0.7356,                0.61515,                0.80714,                 1.0959,                0.92008,             0.00011935,             0.00011935,             0.00011935
                    131,                0.38721,                0.28576,                0.81275,                0.86294,                0.64807,                0.73406,                0.61372,                 0.8057,                 1.0996,                0.92083,             0.00011427,             0.00011427,             0.00011427
                    132,                0.36958,                0.28845,                0.80799,                0.84601,                0.66502,                0.73539,                0.61666,                0.79967,                 1.1017,                  0.918,              0.0001092,              0.0001092,              0.0001092
                    133,                0.35166,                0.28436,                0.79579,                0.84936,                0.66045,                0.73314,                0.61339,                0.79896,                 1.1063,                0.91477,             0.00010412,             0.00010412,             0.00010412
                    134,                0.37099,                0.27611,                0.81278,                0.84968,                0.65586,                0.73182,                0.61994,                0.79724,                 1.1361,                0.91324,             9.9047e-05,             9.9047e-05,             9.9047e-05
                    135,                0.35808,                0.28147,                0.81213,                0.84609,                0.65666,                0.73098,                0.61644,                0.79371,                   1.13,                0.91233,             9.3972e-05,             9.3972e-05,             9.3972e-05
                    136,                0.35925,                0.28121,                0.79973,                0.86285,                0.64999,                0.73161,                0.61599,                0.79122,                 1.1373,                0.91017,             8.8896e-05,             8.8896e-05,             8.8896e-05
                    137,                0.35244,                0.27148,                0.80477,                0.85991,                0.64762,                0.73113,                0.62271,                0.79114,                 1.1373,                0.90953,             8.3821e-05,             8.3821e-05,             8.3821e-05
                    138,                0.34512,                0.26565,                0.80655,                0.88777,                0.62714,                0.73153,                0.61896,                0.80123,                 1.1534,                0.91072,             7.8746e-05,             7.8746e-05,             7.8746e-05
                    139,                0.34652,                0.26134,                0.80324,                0.84564,                0.65276,                0.73211,                0.61865,                0.80909,                 1.1534,                0.91152,              7.367e-05,              7.367e-05,              7.367e-05
                    140,                0.35047,                0.25203,                0.80146,                0.86682,                0.64116,                0.72995,                0.61671,                0.81119,                 1.1483,                0.91268,             6.8595e-05,             6.8595e-05,             6.8595e-05
                    141,                0.35451,                0.25482,                0.79976,                0.88724,                0.63184,                0.73326,                0.61899,                0.80969,                 1.1456,                0.91302,             6.3519e-05,             6.3519e-05,             6.3519e-05
                    142,                0.35859,                 0.2699,                0.80311,                0.89775,                0.63058,                0.73414,                0.61459,                0.81765,                 1.1368,                0.91574,             5.8444e-05,             5.8444e-05,             5.8444e-05
                    143,                0.35555,                0.25439,                0.79904,                0.89787,                0.63094,                0.73443,                0.61506,                0.81167,                 1.1264,                 0.9138,             5.3369e-05,             5.3369e-05,             5.3369e-05
                    144,                0.35155,                0.25442,                0.79918,                0.90649,                0.62917,                0.73083,                0.61188,                0.80473,                 1.1123,                0.91342,             4.8293e-05,             4.8293e-05,             4.8293e-05
                    145,                0.33749,                0.25194,                0.79698,                0.90391,                0.63169,                0.73078,                0.61449,                0.79893,                 1.0976,                0.91268,             4.3218e-05,             4.3218e-05,             4.3218e-05
                    146,                0.34444,                 0.2636,                0.80085,                0.90753,                0.63094,                0.72993,                0.61561,                0.79442,                 1.0827,                0.91229,             3.8142e-05,             3.8142e-05,             3.8142e-05
                    147,                0.33228,                0.24459,                0.78276,                 0.9084,                0.63076,                 0.7299,                0.61545,                0.79355,                 1.0856,                0.91261,             3.3067e-05,             3.3067e-05,             3.3067e-05
                    148,                0.33359,                0.24625,                0.78924,                0.90929,                0.63054,                0.73093,                0.61513,                0.78947,                 1.0768,                0.91477,             2.7992e-05,             2.7992e-05,             2.7992e-05
                    149,                0.34686,                0.24293,                0.80282,                0.90967,                 0.6305,                0.73156,                0.61588,                0.78988,                 1.0742,                 0.9154,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    150,                0.33875,                0.24821,                0.78919,                0.91209,                0.63089,                0.72998,                 0.6148,                0.79317,                 1.0596,                0.91771,             1.7841e-05,             1.7841e-05,             1.7841e-05
